City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,23.14,77,100,3.0,US,2022-01-29 00:37:07
1,Rikitea,-23.1203,-134.9692,78.3,69,97,13.96,PF,2022-01-29 00:37:59
2,Victoria,22.2855,114.1577,65.32,90,99,1.01,HK,2022-01-29 00:34:30
3,Atuona,-9.8,-139.0333,77.67,75,0,13.27,PF,2022-01-29 00:37:59
4,Lorengau,-2.0226,147.2712,81.82,80,99,4.21,PG,2022-01-29 00:35:25
5,Thompson,55.7435,-97.8558,-5.64,71,100,2.3,CA,2022-01-29 00:38:00
6,Makushino,55.2103,67.2442,3.96,96,100,5.68,RU,2022-01-29 00:38:00
7,Provideniya,64.3833,-173.3,1.49,97,19,2.8,RU,2022-01-29 00:38:00
8,Bandarbeyla,9.4942,50.8122,72.45,76,99,16.17,SO,2022-01-29 00:38:01
9,Saint-Pierre,-21.3393,55.4781,74.88,69,0,5.75,RE,2022-01-29 00:38:01
10,Talaya,61.3833,152.75,-7.71,96,100,5.84,RU,2022-01-29 00:38:01
11,Vardo,70.3705,31.1107,31.89,57,100,20.74,NO,2022-01-29 00:38:02
12,Bonavista,48.6499,-53.1147,28.11,74,92,15.7,CA,2022-01-29 00:34:11
13,Hobart,-42.8794,147.3294,68.27,72,75,12.66,AU,2022-01-29 00:33:28
14,Busselton,-33.65,115.3333,79.05,44,100,7.74,AU,2022-01-29 00:38:04
15,Qaanaaq,77.484,-69.3632,-12.68,63,97,7.61,GL,2022-01-29 00:38:05
16,Klaksvik,62.2266,-6.589,41.92,92,100,12.8,FO,2022-01-29 00:33:25
17,Kapaa,22.0752,-159.319,79.48,75,0,1.99,US,2022-01-29 00:34:02
18,Butaritari,3.0707,172.7902,81.63,79,29,16.55,KI,2022-01-29 00:38:06
19,Bluff,-46.6,168.3333,72.81,62,84,6.96,NZ,2022-01-29 00:38:06
20,Cabo San Lucas,22.8909,-109.9124,76.51,52,0,1.01,MX,2022-01-29 00:37:46
21,Mataura,-46.1927,168.8643,72.48,25,99,6.73,NZ,2022-01-29 00:38:07
22,Novo Aripuana,-5.1206,-60.3797,72.32,96,100,1.74,BR,2022-01-29 00:38:07
23,Dalbandin,28.8947,64.4101,55.67,44,0,4.79,PK,2022-01-29 00:38:08
24,Iqaluit,63.7506,-68.5145,-16.87,69,75,13.8,CA,2022-01-29 00:38:08
25,Ozieri,40.586,9.0012,33.24,95,5,4.14,IT,2022-01-29 00:38:09
26,Constitucion,-35.3333,-72.4167,57.36,92,3,5.68,CL,2022-01-29 00:38:09
27,Carnarvon,-24.8667,113.6333,77.07,83,40,13.8,AU,2022-01-29 00:38:09
28,Evensk,61.95,159.2333,16.84,81,100,29.55,RU,2022-01-29 00:38:10
29,Vaini,-21.2,-175.2,82.65,78,100,18.14,TO,2022-01-29 00:38:10
30,Umm Lajj,25.0213,37.2685,60.35,49,0,13.44,SA,2022-01-29 00:38:10
31,Askiz,53.1319,90.5264,-7.49,97,100,3.44,RU,2022-01-29 00:38:11
32,Cape Town,-33.9258,18.4232,66.61,67,0,5.01,ZA,2022-01-29 00:38:11
33,Olafsvik,64.8945,-23.7142,23.76,67,24,13.15,IS,2022-01-29 00:36:05
34,Yar-Sale,66.8333,70.8333,-8.0,99,100,7.31,RU,2022-01-29 00:33:15
35,Port Elizabeth,-33.918,25.5701,66.09,94,75,12.66,ZA,2022-01-29 00:38:12
36,Taltal,-25.4,-70.4833,66.47,79,8,4.63,CL,2022-01-29 00:38:12
